Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
Puerto Rico,PRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.0485,1.7624,1.7123,1.6528,1.5425,1.3365,1.035
Qatar,QAT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.236,2.858,2.433,2.13,1.997,1.929,1.866
Romania,ROU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.31,1.3,1.42,1.66,1.52,1.62,1.76
Russian Federation,RUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.195,1.319,1.305,1.542,1.691,1.777,1.579
Rwanda,RWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.64,5.342,5.015,4.641,4.322,4.157,4.044
Samoa,WSM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.503,4.454,4.46,4.388,4.212,4.029,3.877
San Marino,SMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,1.26,..,..
Sao Tome and Principe,STP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.176,5.049,4.919,4.776,4.627,4.477,4.321
Saudi Arabia,SAU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.971,3.601,3.331,3.066,2.773,2.507,2.319
Senegal,SEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.448,5.232,5.124,5.081,5.005,4.841,4.625
Serbia,SRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.48,1.59,1.43,1.44,1.45,1.46,1.49
Seychelles,SYC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.08,2.06,2.11,2.38,2.37,2.31,2.41
Sierra Leone,SLE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.319,6.067,5.747,5.346,4.923,4.561,4.263
Singapore,SGP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6,1.27,1.28,1.22,1.29,1.24,1.14
Sint Maarten (Dutch part),SXM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,1.7,..,..,..
Slovak Republic,SVK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.3,1.2,1.25,1.44,1.34,1.4,1.54
Slovenia,SVN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.26,1.2,1.31,1.53,1.58,1.57,1.6
Solomon Islands,SLB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.719,4.558,4.44,4.399,4.428,4.459,4.403
Somalia,SOM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.627,7.451,7.228,6.961,6.664,6.363,6.072
South Africa,ZAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.694,2.608,2.607,2.608,2.561,2.484,2.405
South Sudan,SSD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.223,5.969,5.721,5.465,5.197,4.937,4.696
Spain,ESP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.22,1.3,1.36,1.38,1.32,1.33,1.26
Sri Lanka,LKA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.24,2.263,2.278,2.259,2.227,2.213,2.199
St. Kitts and Nevis,KNA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..
St. Lucia,LCA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.202,1.826,1.63,1.555,1.508,1.473,1.436
St. Martin (French part),MAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.83,1.83,1.82,1.82,1.82,1.81,1.81
St. Vincent and the Grenadines,VCT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.379,2.229,2.149,2.092,2.021,1.953,1.891
Sudan,SDN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.471,5.268,5.085,4.926,4.771,4.594,4.407
Suriname,SUR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.895,2.811,2.717,2.633,2.565,2.494,2.418
Sweden,SWE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.54,1.71,1.85,1.94,1.91,1.85,1.76
Switzerland,CHE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.5,1.39,1.44,1.5,1.52,1.54,1.52
Syrian Arab Republic,SYR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.076,3.899,3.762,3.514,3.181,2.94,2.808
Tajikistan,TJK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.967,3.703,3.602,3.596,3.608,3.623,3.585
Tanzania,TZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.689,5.659,5.616,5.489,5.287,5.079,4.892
Thailand,THA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.671,1.595,1.56,1.545,1.538,1.538,1.525
Timor-Leste,TLS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.113,6.137,5.675,5.004,4.497,4.219,4.023
Togo,TGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.419,5.279,5.123,4.936,4.727,4.516,4.32
Tonga,TON,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.25,4.202,4.104,3.963,3.815,3.678,3.556
Trinidad and Tobago,TTO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.753,1.749,1.78,1.804,1.799,1.767,1.725
Tunisia,TUN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.142,2.016,1.999,2.095,2.216,2.251,2.197
Turkey,TUR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.503,2.353,2.24,2.168,2.126,2.101,2.069
Turkmenistan,TKM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.824,2.698,2.653,2.769,2.936,2.93,2.786
Turks and Caicos Islands,TCA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..
Tuvalu,TUV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..
Uganda,UGA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.866,6.723,6.516,6.227,5.845,5.394,4.955
Ukraine,UKR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.116,1.172,1.31,1.473,1.531,1.506,1.301
United Arab Emirates,ARE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.644,2.337,2.081,1.877,1.708,1.541,1.413
United Kingdom,GBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.64,1.7,1.82,1.89,1.92,1.8,1.68
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.056,2.0475,2.108,2.002,1.8805,1.8435,1.7295
Uruguay,URY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.237,2.156,2.07,2.018,2.006,1.997,1.973
Uzbekistan,UZB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.58,2.36,2.39,2.53,2.193,2.491,2.604
Vanuatu,VUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.492,4.378,4.261,4.14,4.019,3.898,3.782
"Venezuela, RB",VEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.822,2.701,2.595,2.5,2.417,2.34,2.272
Vietnam,VNM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.01,1.901,1.899,1.928,1.962,2.014,2.049
Virgin Islands (U.S.),VIR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.06,2.07,2.03,2.37,2.06,2.11,2.06
West Bank and Gaza,PSE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.383,4.973,4.699,4.504,4.272,3.955,3.643
"Yemen, Rep.",YEM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.313,5.778,5.253,4.801,4.439,4.103,3.792
Zambia,ZMB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.036,5.915,5.724,5.496,5.233,4.918,4.633
Zimbabwe,ZWE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.748,3.725,3.819,3.988,4.058,3.896,3.615
Africa Eastern and Southern,AFE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.57342063506595,5.4180547778561,5.26732378342461,5.09384108443779,4.88205815306685,4.64763738028328,4.42026391586983
Africa Western and Central,AFW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.03104412808845,5.9086591885799,5.78445201860554,5.65439834596769,5.50378135093046,5.31947341679464,5.11300261660126
Arab World,ARB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.84571250984344,3.6264598797368,3.50894819741692,3.47502444929669,3.45066091158188,3.36522111169123,3.23100110132061
Caribbean small states,CSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.43823830142346,2.32884072389941,2.24718402757169,2.17700104960808,2.10645191132354,2.04524901380723,1.99513438593883
Central Europe and the Baltics,CEB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.31774313379457,1.25090051033461,1.34183606254527,1.48737353410718,1.41611469271309,1.46237002436237,1.57442274939992
Early-demographic dividend,EAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.34278177015425,3.15165724134927,2.9815801793489,2.82381266883745,2.67945900524956,2.57249804011176,2.48773541757392
East Asia & Pacific,EAS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.85090907409358,1.82302159268485,1.81855560948427,1.81840106059257,1.82841532998948,1.83045224023883,1.82244457725465
East Asia & Pacific (excluding high income),EAP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.89644369808886,1.88163775636524,1.87351791061722,1.86909280118086,1.87029311965653,1.874114605366,1.87567086919773
